"filename", "language", "Python", "Markdown", "C", "comment", "blank", "total"
"/Users/wuyumo/Desktop/RVCC/README.md", "Markdown", 0, 2, 0, 0, 1, 3
"/Users/wuyumo/Desktop/RVCC/a.c", "C", 0, 0, 5, 0, 2, 7
"/Users/wuyumo/Desktop/RVCC/c_ast.py", "Python", 147, 0, 0, 3, 32, 182
"/Users/wuyumo/Desktop/RVCC/codegen.py", "Python", 349, 0, 0, 153, 44, 546
"/Users/wuyumo/Desktop/RVCC/ctoken.py", "Python", 36, 0, 0, 5, 2, 43
"/Users/wuyumo/Desktop/RVCC/ctokenize.py", "Python", 60, 0, 0, 14, 5, 79
"/Users/wuyumo/Desktop/RVCC/ctype.py", "Python", 30, 0, 0, 0, 9, 39
"/Users/wuyumo/Desktop/RVCC/ir.py", "Python", 123, 0, 0, 21, 24, 168
"/Users/wuyumo/Desktop/RVCC/main.py", "Python", 10, 0, 0, 0, 1, 11
"/Users/wuyumo/Desktop/RVCC/parse.py", "Python", 357, 0, 0, 20, 35, 412
"/Users/wuyumo/Desktop/RVCC/test.py", "Python", 81, 0, 0, 84, 27, 192
"/Users/wuyumo/Desktop/RVCC/varinfo.py", "Python", 5, 0, 0, 0, 0, 5
"Total", "-", 1198, 2, 5, 300, 182, 1687